endTime,artistName,trackName,msPlayed
2020-09-16 22:47,The Lovin' Spoonful,Do You Believe in Magic?,125826
2020-09-16 22:51,Bon Jovi,Who Says You Can't Go Home,230280
2020-09-16 22:52,Fifth Harmony,Por Favor - Spanglish Version,31286
2020-09-16 22:57,Zac Brown Band,Lance's Song,274613
2020-09-16 23:01,Luke Bryan,One Margarita,193426
2020-09-16 23:07,Tame Impala,The Less I Know The Better,79098
2020-09-17 00:43,Selena,Bidi Bidi Bom Bom,180104
2020-09-17 01:17,First Class,Beach Baby,201386
2020-09-17 01:59,Joe Jonas,"Gotta Find You - From ""Camp Rock""/Soundtrack Version",166118
2020-09-17 16:42,Chris Stapleton,Starting Over,240413
2020-09-17 16:43,Rodney Atkins,Take A Back Road,44415
2020-09-17 17:28,Five For Fighting,Superman (It's Not Easy),220040
2020-09-17 19:16,Mark Keali'i Ho'omalu,"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",148133
2020-09-17 19:28,Thomas Rhett,Remember You Young,180466
2020-09-17 19:37,Santana,Corazon Espinado (feat. Mana),274773
2020-09-17 19:41,Backstreet Boys,I Want It That Way,213600
2020-09-17 19:44,Olly Murs,Troublemaker (feat. Flo Rida),185586
2020-09-17 19:47,Jerrod Niemann,"Lover, Lover",193733
2020-09-17 19:54,Elvis Presley,Suspicious Minds,261280
2020-09-17 19:57,Third Day,Soul On Fire (feat. All Sons & Daughters) (feat. All Sons & Daughters),197706
2020-09-17 20:04,Taylor Swift,The Lucky One,240133
2020-09-17 20:13,Old Dominion,Goes Without Saying,167181
2020-09-17 21:06,Rascal Flatts,How They Remember You,211706
2020-09-17 21:14,Sidewalk Prophets,You Were There,256893
2020-09-17 21:14,Panic! At The Disco,Golden Days,32793
2020-09-17 21:21,Two Door Cinema Club,What You Know,191706
2020-09-17 21:32,YOON DU JUN,When The Door Closes,205706
2020-09-17 21:33,Imagine Dragons,Natural,63919
2020-09-17 21:40,Emotional Oranges,West Coast Love,215386
2020-09-17 21:41,Eminem,Superman,53373
2020-09-17 21:45,Five For Fighting,Superman (It's Not Easy),221693
2020-09-17 21:48,Counting Crows,"Accidentally In Love - From ""Shrek 2"" Soundtrack",188386
2020-09-17 21:51,Rex Orange County,Loving Is Easy,155720
2020-09-17 21:52,Sam Hunt,Ex To See,62107
2020-09-17 21:55,Dallas Smith,Some Things Never Change (feat. HARDY),171626
2020-09-17 22:02,Simple Plan,Summer Paradise (feat. Sean Paul) - Single Version,234786
2020-09-17 22:13,Ska 86 Project,Summer Time,157833
2020-09-17 22:32,The White Tie Affair,Candle (Sick And Tired),46267
2020-09-18 00:42,Cole Swindell,Chillin' It,54235
2020-09-18 00:46,Chris Stapleton,Starting Over,230241
2020-09-18 00:52,Ailee,여인의 향기,93607
