endTime,artistName,trackName,Day of the Week,Genres,msPlayed
2020-04-07 00:03,Selena,Bidi Bidi Bom Bom,Tuesday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",135729
2020-04-07 00:15,Emotional Oranges,Sundays,Tuesday,['alternative r&b'],161826
2020-04-07 00:20,Chris Young,Town Ain't Big Enough,Tuesday,"['contemporary country', 'country', 'country road', 'modern country rock']",102307
2020-04-07 00:26,Luke Combs,Beautiful Crazy,Tuesday,['contemporary country'],141548
2020-04-07 03:08,Counting Crows,Big Yellow Taxi,Tuesday,"['alternative rock', 'mellow gold', 'neo mellow', 'pop rock', 'rock']",225573
2020-04-07 03:16,Sister Hazel,Mandolin Moon,Tuesday,"['acoustic pop', 'neo mellow', 'pop rock']",214346
2020-04-07 03:19,Emotional Oranges,Corners Of My Mind,Tuesday,['alternative r&b'],212866
2020-04-07 03:26,Billy Joel,We Didn't Start the Fire,Tuesday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",287733
2020-04-07 03:35,Thomas Rhett,Be A Light,Tuesday,"['contemporary country', 'country', 'country road', 'modern country rock']",173960
2020-04-07 06:10,Keith Urban,I'm In,Tuesday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",42830
2020-04-07 20:53,Emotional Oranges,Sundays,Tuesday,['alternative r&b'],189093
2020-04-07 21:25,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",Tuesday,['hollywood'],187853
2020-04-07 21:36,Dan + Shay,"10,000 Hours (with Justin Bieber)",Tuesday,"['contemporary country', 'pop']",167693
2020-04-07 22:20,Bobby Day,Rockin' Robin,Tuesday,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",160080
2020-04-07 22:42,Zac Brown Band,Lance's Song,Tuesday,"['contemporary country', 'country', 'country road', 'modern country rock']",274613
2020-04-07 22:49,Neil Diamond,Cracklin' Rosie,Tuesday,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",178853
2020-04-07 23:34,Rex Orange County,Loving Is Easy,Tuesday,"['bedroom pop', 'pop']",155720
2020-04-07 23:37,blink-182,She's Out Of Her Mind,Tuesday,"['pop punk', 'punk', 'socal pop punk']",162720
2020-04-07 23:59,Spencer Crandall,Do It All Again,Tuesday,"['contemporary country', 'country pop']",203018
2020-04-08 00:02,Pentatonix,Sing,Wednesday,['a cappella'],177240
2020-04-08 00:06,Dean Brody,It's Friday,Wednesday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",190960
2020-04-08 00:21,Old Dominion,Make It Sweet,Wednesday,"['contemporary country', 'country road']",187000
2020-04-08 00:23,Elvis Presley,Stuck on You,Wednesday,"['rock-and-roll', 'rockabilly']",139640
2020-04-08 00:36,The Tokens,Tonight I Met an Angel,Wednesday,"['brill building pop', 'doo-wop', 'sunshine pop']",118306
2020-04-08 00:47,Chris Young,Town Ain't Big Enough,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",171800
