,endTime,artistName,trackName,Genre,Day of the Week,Genres,msPlayed
572,4/30/2020 22:29,Twenty One Pilots,House of Gold,modern rock,Thursday,"['modern rock', 'rock']",163880
573,4/30/2020 22:32,Old Dominion,Make It Sweet,contemporary country,Thursday,"['contemporary country', 'country road']",187000
574,4/30/2020 23:38,Shakira,Can't Remember to Forget You (feat. Rihanna),colombian pop,Thursday,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",206866
575,4/30/2020 23:41,Luke Bryan,One Margarita,contemporary country,Thursday,"['contemporary country', 'country', 'country road']",167555
576,5/1/2020 0:14,Billy Joel,The Longest Time,album rock,Friday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",176100
577,5/1/2020 0:17,Billy Joel,The Longest Time,album rock,Friday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",33296
578,5/1/2020 0:20,Jelani Aryeh,Stella Brown,alternative r&b,Friday,"['alternative r&b', 'bedroom soul']",187415
579,5/1/2020 0:21,Dean Brody,It's Friday,canadian contemporary country,Friday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",72503
580,5/1/2020 17:49,Phil Collins,"Son of Man - From ""Tarzan""/Soundtrack Version",mellow gold,Friday,"['mellow gold', 'rock drums', 'soft rock']",166040
581,5/1/2020 18:05,Taylor Swift,Paper Rings,dance pop,Friday,"['dance pop', 'pop']",222400
582,5/1/2020 18:09,Macklemore,Good Old Days (feat. Kesha),pop rap,Friday,"['pop rap', 'seattle hip hop']",240506
583,5/1/2020 18:18,Rush,Limelight,album rock,Friday,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']",259840
584,5/1/2020 18:27,Jelani Aryeh,Stella Brown,alternative r&b,Friday,"['alternative r&b', 'bedroom soul']",187415
585,5/1/2020 18:30,The Jackson 5,I Want You Back,adult standards,Friday,"['adult standards', 'motown']",176333
