endTime,artistName,trackName,Day of the Week,Genres,msPlayed
4/11/2020 23:55,Jelani Aryeh,Stella Brown,Saturday,"['alternative r&b', 'bedroom soul']",177694
4/12/2020 0:01,Emotional Oranges,Sundays,Sunday,['alternative r&b'],103585
4/12/2020 0:02,Emotional Oranges,Sundays,Sunday,['alternative r&b'],87113
4/12/2020 0:09,Secondhand Serenade,Fall For You,Sunday,"['neo mellow', 'piano rock', 'pixie', 'pop punk', 'pop rock']",102771
4/12/2020 0:16,Luke Bryan,Most People Are Good,Sunday,"['contemporary country', 'country', 'country road']",221800
4/12/2020 0:17,Passenger,Let Her Go,Sunday,"['folk-pop', 'neo mellow', 'pop']",59328
4/14/2020 2:36,Emotional Oranges,West Coast Love,Tuesday,['alternative r&b'],215386
4/14/2020 2:46,Luke Combs,Even Though I'm Leaving,Tuesday,['contemporary country'],225253
4/14/2020 2:52,Jelani Aryeh,Stella Brown,Tuesday,"['alternative r&b', 'bedroom soul']",182610
4/14/2020 2:56,Rascal Flatts,I Won't Let Go,Tuesday,"['contemporary country', 'country', 'country road', 'pop rock']",226450
4/14/2020 3:10,Blake Shelton,Nobody But You (Duet with Gwen Stefani) - Acoustic,Tuesday,"['contemporary country', 'country', 'country road', 'oklahoma country']",196840
4/14/2020 3:27,FLOW,GO!!!,Tuesday,"['anime', 'anime score', 'j-poprock', 'otacore']",89100
4/14/2020 3:28,Runrig,Tear Down These Walls,Tuesday,"['celtic', 'celtic rock', 'scottish rock']",92040
4/14/2020 3:31,TWICE,Like Ooh-Ahh,Tuesday,"['k-pop', 'k-pop girl group']",52550
4/14/2020 3:32,PSY,"It's Art (Music from Fantastic Duo 2, Pt. 4)",Tuesday,"['k-pop', 'k-rap']",65670
4/14/2020 3:35,PSY,It's Art - Live,Tuesday,"['k-pop', 'k-rap']",33610
4/14/2020 3:42,Merle Haggard,Mama Tried,Tuesday,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",134453
4/14/2020 3:52,Justin Moore,If Heaven Wasn't So Far Away,Tuesday,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",223280
4/14/2020 3:59,Jason Derulo,In My Head,Tuesday,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",199026
4/14/2020 4:01,Mark Keali'i Ho'omalu,"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",Tuesday,['movie tunes'],148133
4/14/2020 4:19,Phil Collins,You Can't Hurry Love - 2016 Remaster,Tuesday,"['mellow gold', 'rock drums', 'soft rock']",175746
4/14/2020 21:56,KANA-BOON,Silhouette,Tuesday,"['anime', 'j-pop', 'j-poprock', 'j-rock']",235750
4/14/2020 22:33,Redbone,Come and Get Your Love,Tuesday,"['native american', 'native american contemporary']",300666
4/14/2020 23:35,MKTO,Monaco,Tuesday,"['dance pop', 'electropop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",125390
4/14/2020 23:39,Lady A,Champagne Night - From Songland,Tuesday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",35894
4/14/2020 23:42,Jelani Aryeh,Stella Brown,Tuesday,"['alternative r&b', 'bedroom soul']",176800
4/14/2020 23:46,Jason Derulo,In My Head,Tuesday,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",48870
4/14/2020 23:47,Jonas Brothers,What A Man Gotta Do,Tuesday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",58191
4/14/2020 23:52,Chris Young,Drowning - Piano Version,Tuesday,"['contemporary country', 'country', 'country road', 'modern country rock']",71447
4/15/2020 20:11,Declan McKenna,Brazil,Wednesday,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",250600
4/15/2020 20:25,Thomas Rhett,Be A Light,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",173960
4/15/2020 20:28,Stellar Kart,Can You Feel The Love Tonight,Wednesday,"['ccm', 'christian alternative rock', 'christian music', 'christian punk', 'christian rock', 'worship']",224573
4/15/2020 20:29,Kevin Rudolf,Here's To Us,Wednesday,"['dance pop', 'pop rap']",43885
4/15/2020 20:37,Jelani Aryeh,Stella Brown,Wednesday,"['alternative r&b', 'bedroom soul']",187415
4/15/2020 20:56,Frankie Valli & The Four Seasons,Beggin' - 2007 Remaster,Wednesday,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'motown', 'northern soul', 'rock-and-roll']",168706
4/15/2020 21:00,Donnie Trumpet & The Social Experiment,Sunday Candy,Wednesday,['pop soul'],226013
4/15/2020 21:10,The Goo Goo Dolls,Sympathy,Wednesday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",178146
4/15/2020 21:19,Boys Like Girls,Five Minutes to Midnight,Wednesday,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",227360
4/15/2020 21:27,Lady A,American Honey,Wednesday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",224866
4/15/2020 21:32,Edwin McCain,I'll Be - 45 Version,Wednesday,"['acoustic pop', 'neo mellow', 'pop rock']",266280
4/15/2020 21:51,Bowling For Soup,High School Never Ends - Main Version - Explicit,Wednesday,"['comic', 'pop punk', 'texas pop punk']",209040
4/15/2020 22:02,Sister Hazel,All For You,Wednesday,"['acoustic pop', 'neo mellow', 'pop rock']",218706
4/15/2020 22:19,Riley Green,I Wish Grandpas Never Died,Wednesday,"['contemporary country', 'country road']",242900
4/15/2020 22:22,Jonas Brothers,Like It's Christmas,Wednesday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",200880
4/15/2020 22:26,Stellar Kart,Can You Feel The Love Tonight,Wednesday,"['ccm', 'christian alternative rock', 'christian music', 'christian punk', 'christian rock', 'worship']",224573
4/16/2020 6:18,Tim McGraw,Thought About You,Thursday,"['contemporary country', 'country', 'country road']",31580
4/16/2020 19:52,Lady A,Champagne Night - From Songland,Thursday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",185069
4/16/2020 20:04,The Foundations,Build Me Up Buttercup,Thursday,"['brill building pop', 'bubblegum pop', 'folk rock', 'motown']",177533
4/16/2020 20:11,Elvis Presley,Burning Love - Live,Thursday,"['rock-and-roll', 'rockabilly']",177080
4/16/2020 20:14,One Direction,Diana,Thursday,"['boy band', 'pop', 'post-teen pop', 'talent show']",184666
4/16/2020 20:44,Kings Kaleidoscope,Fix My Eyes,Thursday,"['anthem worship', 'ccm', 'christian pop', 'christian uplift', 'indiecoustica', 'roots worship', 'world worship', 'worship']",293173
4/16/2020 20:51,Keith Urban,I'm In,Thursday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",273520
4/16/2020 20:55,Cher,Super Trouper,Thursday,"['dance pop', 'hollywood', 'new wave pop', 'pop']",231480
4/16/2020 20:59,Zac Brown Band,Whatever It Is,Thursday,"['contemporary country', 'country', 'country road', 'modern country rock']",208213
4/16/2020 21:24,Old Dominion,Written in the Sand,Thursday,"['contemporary country', 'country road']",184080
4/16/2020 21:28,Steven Curtis Chapman,Cinderella,Thursday,"['ccm', 'christian alternative rock', 'christian music', 'worship']",265253
4/16/2020 21:39,Jonas Brothers,Lovebug,Thursday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",220693
4/16/2020 21:49,Jonas Brothers,Strangers,Thursday,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",233853
4/16/2020 21:56,Taylor Swift,Paper Rings,Thursday,"['dance pop', 'pop']",222400
4/16/2020 22:00,Panic! At The Disco,Nine in the Afternoon - Single Mix,Thursday,"['baroque pop', 'emo', 'modern rock']",191560
4/16/2020 23:54,Lady Gaga,Telephone,Thursday,"['dance pop', 'pop', 'pop dance']",220626
4/17/2020 20:14,Gorillaz,Feel Good Inc.,Friday,['alternative hip hop'],222640
4/17/2020 21:14,Lady A,Champagne Night - From Songland,Friday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",185069
4/17/2020 21:17,Phil Collins,"Son of Man - From ""Tarzan""/Soundtrack Version",Friday,"['mellow gold', 'rock drums', 'soft rock']",166040
4/17/2020 21:27,PSY,"It's Art (Music from Fantastic Duo 2, Pt. 4)",Friday,"['k-pop', 'k-rap']",245802
