,endTime,artistName,trackName,Genre,msPlayed,Day of the Week
227,10/15/2019 15:15,Old Dominion,Half Empty,contemporary country,170800,Tuesday
228,10/15/2019 15:19,Taylor Swift,Holy Ground,dance pop,201853,Tuesday
229,10/15/2019 16:08,Passion,"Lord, I Need You - Live",anthem worship,274645,Tuesday
230,10/15/2019 16:11,The Lonely Island,Semicolon,comedy rap,154933,Tuesday
231,10/15/2019 16:14,Moon Taxi,Two High,indie pop,213120,Tuesday
232,10/15/2019 21:13,Sweet,Ballroom Blitz,album rock,246573,Tuesday
233,10/15/2019 21:17,Blackjack Billy,Born to Ride,modern southern rock,219693,Tuesday
234,10/15/2019 21:32,Daddy Yankee,Limbo,latin,224693,Tuesday
235,10/15/2019 21:39,U2,The Miracle (Of Joey Ramone),irish rock,255382,Tuesday
236,10/15/2019 21:47,Fall Out Boy,"Sugar, We're Goin Down",emo,229093,Tuesday
237,10/15/2019 21:51,Paramore,Misery Business,candy pop,211520,Tuesday
238,10/15/2019 21:55,Twenty One Pilots,Fake You Out,modern rock,231320,Tuesday
239,10/15/2019 21:59,Brett Dennen,Comeback Kid (That's My Dog),acoustic pop,204187,Tuesday
240,10/15/2019 22:02,blink-182,Darkside,pop punk,177124,Tuesday
241,10/15/2019 22:05,Bowling For Soup,Almost,comic,206160,Tuesday
242,10/15/2019 22:12,Robin Schulz,Sugar (feat. Francesco Yates),dance pop,219043,Tuesday
243,10/15/2019 22:16,Skillet,Feel Invincible,alternative metal,229933,Tuesday
244,10/15/2019 22:29,Fall Out Boy,The Phoenix,emo,244960,Tuesday
245,10/15/2019 22:29,Ozzy Osbourne,Crazy Train,album rock,35242,Tuesday
246,10/15/2019 22:33,Boys Like Girls,Five Minutes to Midnight,neo mellow,227360,Tuesday
247,10/15/2019 22:53,blink-182,She's Out Of Her Mind,pop punk,162720,Tuesday
248,10/15/2019 22:56,Veronica Vega,Wave (feat. Lil Wayne & Jeremih),rap latina,212466,Tuesday
249,10/15/2019 23:00,Pitbull,Haciendo Ruido,dance pop,188800,Tuesday
250,10/15/2019 23:02,Eminem,'Till I Collapse,detroit hip hop,92304,Tuesday
251,10/16/2019 16:45,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",hollywood,187853,Wednesday
252,10/16/2019 16:53,Elvis Presley,Stuck on You,rock-and-roll,139640,Wednesday
253,10/16/2019 17:52,Ozomatli,After Party,latin alternative,225960,Wednesday
254,10/16/2019 17:59,MKTO,How Can I Forget,dance pop,177140,Wednesday
255,10/16/2019 20:17,Uncle Kracker,Floatin',country,178816,Wednesday
256,10/16/2019 20:23,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),pop,207760,Wednesday
257,10/16/2019 20:28,Crowder,Come As You Are,anthem worship,289746,Wednesday
258,10/16/2019 20:29,Gwen Stefani,The Sweet Escape,dance pop,33232,Wednesday
259,10/16/2019 21:05,Taylor Swift,The Lucky One,dance pop,91437,Wednesday
260,10/16/2019 22:26,Old Dominion,Some People Do,contemporary country,192492,Wednesday
261,10/16/2019 22:32,Thomas Rhett,Up,contemporary country,77248,Wednesday
262,10/16/2019 22:39,The Goo Goo Dolls,Come to Me,alternative rock,225333,Wednesday
263,10/17/2019 0:07,Chris Tomlin,Resurrection Power,ccm,46964,Thursday
264,10/17/2019 2:58,Thomas Rhett,Marry Me,contemporary country,141397,Thursday
265,10/17/2019 3:19,Sweet,Ballroom Blitz,album rock,246573,Thursday
266,10/17/2019 3:30,Fall Out Boy,"Sugar, We're Goin Down",emo,229093,Thursday
267,10/17/2019 3:34,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),dance pop,196440,Thursday
268,10/17/2019 3:38,Lecrae,Tell The World,ccm,216726,Thursday
269,10/17/2019 3:38,Sports Machine,Chicago Bulls Theme Song (Sirius) [stadium Version],instrumental rock,34023,Thursday
270,10/17/2019 3:44,Fall Out Boy,The Phoenix,emo,244960,Thursday
271,10/17/2019 3:50,Tech N9ne,Worldwide Choppers,hip hop,326426,Thursday
272,10/17/2019 4:32,Veronica Vega,Wave (feat. Lil Wayne & Jeremih),rap latina,106203,Thursday
273,10/17/2019 4:45,Old Dominion,Some People Do,contemporary country,80867,Thursday
274,10/17/2019 15:06,Thomas Rhett,Almost,contemporary country,191591,Thursday
275,10/17/2019 15:30,Rex Orange County,Sunflower,bedroom pop,117234,Thursday
276,10/17/2019 16:06,Thomas Rhett,Notice,contemporary country,222853,Thursday
277,10/17/2019 16:10,Taylor Swift,Holy Ground,dance pop,201853,Thursday
278,10/17/2019 16:12,Maddie & Tae,Fly,contemporary country,122833,Thursday
279,10/17/2019 16:16,Old Dominion,My Heart Is a Bar,contemporary country,238986,Thursday
280,10/17/2019 16:18,Creedence Clearwater Revival,Down On The Corner,album rock,135687,Thursday
281,10/17/2019 17:38,Post Malone,Candy Paint,dfw rap,109243,Thursday
282,10/17/2019 19:56,Thomas Rhett,Notice,contemporary country,222853,Thursday
283,10/17/2019 19:57,Allman Brothers Band,Ramblin' Man,album rock,69644,Thursday
284,10/17/2019 19:59,ABBA,Chiquitita,europop,109631,Thursday
